SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	March 23, 2020	March 20, 2020	March 19, 2020	March 18, 2020	March 17, 2020
Chinese yuan		0.1050790000	0.1047460000	0.1043590000	0.1043400000
Euro		0.7937580000	0.8013890000	0.8011740000	0.8025130000
Japanese yen			0.0068163300	0.0068256700	0.0068563800
U.K. pound		0.8714880000	0.8562940000	0.8736410000	0.8851980000
U.S. dollar		0.7413450000	0.7419580000	0.7327360000	0.7307530000
Algerian dinar		0.0060325000	0.0060847200	0.0060372100	0.0060566300
Australian dollar		0.4339090000	0.4133450000	0.4409610000	0.4472940000
Botswana pula		0.0625695000	0.0626213000	0.0633817000	0.0637217000
Brazilian real		0.1475580000	0.1442460000	0.1433900000	0.1447350000
Brunei dollar		0.5112370000	0.5108850000	0.5133000000	0.5141440000
Canadian dollar		0.5172660000	0.5118720000	0.5054750000	0.5155220000
Chilean peso		0.0008542510	0.0008600520	0.0008569110	0.0008591940
Colombian peso		0.0001784690	0.0001797210	0.0001811660	0.0001782350
Czech koruna		0.0291799000	0.0290201000	0.0295054000	0.0297429000
Danish krone		0.1062720000	0.1072360000	0.1072070000	0.1073850000
Indian rupee			0.0098850900	0.0098787800	0.0098709200
Israeli New Shekel		0.2061010000	0.2014550000	0.1914650000	0.1892160000
Korean won		0.0005791310	0.0005994170	0.0005903450	0.0005991740
Kuwaiti dinar					
Malaysian ringgit		0.1683150000	0.1683780000	0.1681360000	0.1687650000
Mauritian rupee		0.0188391000	0.0189051000	0.0187414000	0.0188986000
Mexican peso		0.0307468000	0.0308035000	0.0306574000	0.0316929000
New Zealand dollar		0.4242720000	0.4184640000	0.4357580000	0.4433480000
Norwegian krone		0.0654835000	0.0650663000	0.0684704000	0.0697456000
Omani rial			1.9296700000	1.9056900000	1.9005300000
Peruvian sol		0.2106090000	0.2082400000	0.2055360000	0.2059040000
Philippine peso		0.0144752000	0.0144575000	0.0143185000	
Polish zloty		0.1748460000	0.1749030000	0.1798170000	0.1806110000
Qatari riyal			0.2038350000	0.2013010000	0.2007560000
Russian ruble		0.0094990300	0.0092563100	0.0094897900	0.0098898000
Saudi Arabian riyal			0.1978550000	0.1953960000	0.1948670000
Singapore dollar		0.5112370000	0.5108850000	0.5133000000	0.5141440000
South African rand		0.0429448000	0.0426712000	0.0429871000	0.0437777000
Swedish krona		0.0723680000	0.0718360000	0.0736107000	0.0744982000
Swiss franc		0.7537820000	0.7571770000	0.7625910000	0.7627110000
Thai baht		0.0227945000	0.0227246000	0.0226419000	0.0227168000
Trinidadian dollar			0.1098350000	0.1086000000	0.1081970000
U.A.E. dirham			0.2020310000	0.1995200000	0.1989800000
Uruguayan peso		0.0166087000	0.0162017000	0.0159492000	0.0160270000

Currency units per SDR(3)

Currency	March 23, 2020	March 20, 2020	March 19, 2020	March 18, 2020	March 17, 2020
Chinese yuan		9.516650	9.546900	9.582310	9.584050
Euro		1.259830	1.247830	1.248170	1.246090
Japanese yen			146.707000	146.506000	145.850000
U.K. pound		1.147460	1.167820	1.144630	1.129690
U.S. dollar		1.348900	1.347790	1.364750	1.368450
Algerian dinar		165.769000	164.346000	165.639000	165.108000
Australian dollar		2.304630	2.419290	2.267770	2.235670
Botswana pula		15.982200	15.969000	15.777400	15.693200
Brazilian real		6.777000	6.932600	6.973990	6.909180
Brunei dollar		1.956040	1.957390	1.948180	1.944980
Canadian dollar		1.933240	1.953610	1.978340	1.939780
Chilean peso		1,170.620000	1,162.720000	1,166.980000	1,163.880000
Colombian peso		5,603.210000	5,564.180000	5,519.800000	5,610.570000
Czech koruna		34.270200	34.458900	33.892100	33.621500
Danish krone		9.409820	9.325230	9.327750	9.312290
Indian rupee			101.162000	101.227000	101.308000
Israeli New Shekel		4.851990	4.963890	5.222890	5.284970
Korean won		1,726.730000	1,668.290000	1,693.920000	1,668.960000
Kuwaiti dinar					
Malaysian ringgit		5.941240	5.939020	5.947570	5.925400
Mauritian rupee		53.081100	52.895800	53.357800	52.914000
Mexican peso		32.523700	32.463800	32.618600	31.552800
New Zealand dollar		2.356980	2.389690	2.294850	2.255560
Norwegian krone		15.271000	15.368900	14.604900	14.337800
Omani rial			0.518223	0.524744	0.526169
Peruvian sol		4.748140	4.802150	4.865330	4.856630
Philippine peso		69.083700	69.168300	69.839700	
Polish zloty		5.719320	5.717450	5.561210	5.536760
Qatari riyal			4.905930	4.967690	4.981170
Russian ruble		105.274000	108.034000	105.376000	101.114000
